Entity,Code,Day,Training dataset size
data2vec (speech),,2022-01-20,13132800
data2vec (vision),,2022-01-20,1281167
eDiff-I,,2022-11-02,1000000000
iGPT-L,,2020-06-17,1229920.4
iGPT-XL,,2020-06-17,1229920.4
mPLUG-Owl2,,2023-11-07,400672000
mT0-13B,,2022-11-03,20000000000
mT5-XXL,,2020-10-20,1000000000000
wave2vec 2.0 LARGE,,2020-10-22,727776000
λ-WASP,,2007-06-01,792
