Entity,Code,Day,Training computation (petaFLOP),Number of parameters,Researcher affiliation
Ferret (13B),,2023-10-11,,12999999488,Academia and industry collaboration
FinGPT-13B,,2023-10-07,160000000,12999999488,Academia
Fine-tuned-AWD-LSTM-DOC(fin),,2018-11-12,1.9200001,35000000,Industry
Firefly,,2023-03-21,,,Industry
Fisher Kernel GMM,,2007-07-16,,,Industry
Fisher Vector image classifier,,2013-06-12,0.0908424,,Academia and industry collaboration
Fisher-Boost,,2010-09-05,,,Industry
FixRes ResNeXt-101 WSL,,2019-06-14,,829000000,Industry
Flamingo,,2022-04-29,218972000,80000000000,Industry
Flan T5-XXL + BLIP-2,,2023-01-30,,12099999744,Industry
Flan-PaLM 540B,,2022-10-20,2500000000,539999993856,Industry
Flan-T5 11B,,2022-10-20,33000000,11000000512,Industry
Florence,,2021-11-22,48310000,893000000,Industry
Fold2Seq,,2021-06-24,3006.798,12427904,Academia and industry collaboration
Fractional Max-Pooling,,2014-12-18,100,27000000,Academia
Fragment embedding,,2014-06-21,,144496000,Academia
FrameNet role labeling,,2000-09-01,,,Academia
Fraternal dropout + AWD-LSTM 3-layer (WT2),,2017-10-31,98.5,34000000,Academia
Fully Convolutional Networks,,2014-11-14,,,Academia
FunSearch,,2023-12-14,387000000,15000000512,Industry
Fusion in Encoder,,2022-11-18,130000,330000000,Industry
Fuzzy NN,,1992-09-01,0.0000014031178,1166,Academia
GAN-Advancer,,2016-12-05,,,Industry
GANs,,2014-06-10,518.4,,Academia
GBERT-Large,,2020-10-21,2244464.5,335000000,Other
GCNN-14,,2016-12-23,,,Industry
GGNN,,2023-08-05,7560000.5,,Academia
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),,2017-08-29,474.00003,38000000,Academia
GLEE,,1968-07-01,,,Academia
GLIDE,,2021-12-20,47000000,3500000000,Industry
GLM-130B,,2022-08-04,377800000,130000003072,Academia
GLM-4 (0520),,2024-06-18,,,Industry
GLaM,,2021-12-13,374000000,1199999942656,Industry
GNMT,,2016-09-26,6620000,278000000,Industry
GOAT,,2021-07-27,78000010,3500000,Industry
GPT-1,,2018-06-01,17578.125,117000000,Industry
GPT-2 (1.5B),,2019-02-14,1920000.1,1500000000,Industry
GPT-3 175B (davinci),,2020-05-28,314000000,174999994368,Industry
GPT-3.5 (text-davinci-003),,2022-11-28,2578000000,,Industry
GPT-3.5 Turbo,,2022-11-30,,20000000000,Industry
GPT-4,,2023-03-15,21000000000,,Industry
GPT-4 Turbo,,2023-11-06,,,Industry
GPT-4V,,2023-09-25,,,Industry
GPT-4o,,2024-05-13,,,Industry
GPT-NeoX-20B,,2022-02-09,93162700,20000000000,Other
GPU DBNs,,2009-06-15,1,100000000,Academia
GPipe (Amoeba),,2018-11-16,,557000000,Industry
GPipe (Transformer),,2018-11-16,,6000000000,Industry
GRUs,,2014-06-03,,,Academia
GSM,,2017-07-30,,,Academia and industry collaboration
GShard (dense),,2020-06-30,137020000,2300000000,Industry
Galactica,,2022-11-16,324000000,120000004096,Industry
Gated HORNN (3rd order),,2016-04-30,,8970000,Academia
