Entity,Code,Day,Number of parameters
Masked Autoencoders,,2021-11-11,632000000
MedBERT,,2021-05-20,17000000
Meena,,2020-01-28,2600000000
MegaScale (Production),,2024-02-23,530000000000
Megatron-BERT,,2019-09-17,3900000000
Megatron-LM (8.3B),,2019-09-17,8300000000
Megatron-Turing NLG 530B,,2021-10-11,530000000000
Mesh-TensorFlow Transformer 2.9B (translation),,2018-11-05,2900000000
Mesh-TensorFlow Transformer 4.9B (language),,2018-11-05,4900000000
Meta Pseudo Labels,,2021-03-01,480000000
MetaMimic,,2018-10-11,22000000
Minerva (540B),,2022-06-29,540350000000
Mistral Large 2,,2024-07-24,123000000000
Mitosis,,2013-09-22,37230
Mixtral 8x7B,,2023-12-11,46700000000
Mixture of linear models,,1994-01-01,384000
MnasNet-A1 + SSDLite,,2019-05-29,4900000
MnasNet-A3,,2019-05-29,5200000
MoCo,,2019-11-13,375000000
MoE-Multi,,2017-01-23,8700000000
MobileNet,,2017-04-17,4200000
MobileNetV2,,2018-06-18,3400000
"Mogrifier (d2, MoS2, MC) + dynamic eval",,2019-09-04,35000000
Mogrifier RLSTM (WT2),,2022-11-03,35000000
Monocular Depth Prediction,,2005-12-05,1472256
MuZero,,2019-11-19,36864000
Multi-cell LSTM,,2018-11-15,7200000
Multilingual DNN,,2013-05-26,206899200
Multiresolution CNN,,2014-06-23,126125570
MusicGen,,2023-06-08,3359000000
MusicLM,,2023-01-26,860000000
NAS with base 8 and shared embeddings,,2016-11-05,54000000
NAS+ESS (156M),,2020-05-06,156000000
NASNet-A,,2017-07-21,89000000
NASv3 (CIFAR-10),,2016-11-05,37400000
NLLB,,2022-07-06,54500000000
NLP from scratch,,2011-11-08,5000000
NMT Transformer 437M,,2019-02-28,437700000
NPLM,,2003-03-15,11904264
Nemotron-3-8B,,2023-11-15,8000000000
Nemotron-4 340B,,2024-06-14,340000000000
Neocognitron,,1980-04-01,1140576
NetTalk (dictionary),,1987-06-06,18629
NetTalk (transcription),,1987-06-06,18629
Neural LM,,2000-01-01,6906980
NeuroChess,,1994-01-01,72251
Noisy Student (L2),,2019-11-11,480000000
Nucleotide Transformer,,2023-01-15,2500000000
NÜWA,,2021-11-24,870000000
ONE-PEACE,,2023-05-18,4000000000
OPT-175B,,2022-05-02,175000000000
OR-WideResNet,,2017-01-07,18200000
OmegaPLM,,2022-07-22,670000000
Once for All,,2020-04-29,7700000
OntoProtein,,2022-01-23,420000000
OpenAI Five,,2019-12-13,159000000
OpenAI Five Rerun,,2019-12-13,159000000
OpenVLA,,2024-06-13,7188100000
PLATO-XL,,2021-09-20,11000000000
PLUG,,2021-04-19,27000000000
PNAS-net,,2017-12-02,86000000
PPLX-70B-Online,,2023-11-29,70000000000
PaLI,,2022-09-14,16900000000
PaLI-X,,2023-05-29,55000000000
PaLM (540B),,2022-04-04,540350000000
PaLM 2,,2023-05-10,340000000000
PaLM-E,,2023-03-06,562000000000
PanGu-Σ,,2023-03-20,1085000000000
Pangu-Weather,,2023-07-05,256000000
Paragraph Vector,,2014-05-14,32000000
Parti,,2022-06-22,20000000000
Pattern recognition and reading by machine,,1959-12-01,2625
Perceiver IO (optical flow),,2020-02-08,27900000
Perceptron (1960),,1960-03-30,1000
Perceptron Mark I,,1957-01-01,1000
PermuteFormer,,2021-09-06,149697020
Phenaki,,2022-10-05,1800000000
Phrase-based translation,,2003-05-01,9178890
Piecewise linear model,,1973-11-01,357
PoE MNIST,,2000-01-01,3925310
Pointer Sentinel-LSTM (medium),,2016-09-26,21000000
PolyCoder,,2022-02-26,2700000000
PolyNet,,2016-11-17,92000000
Population-based DRL,,2018-07-03,122000000
PreTrans-3L-250H,,2013-03-22,43000000
Predictive Coding NN,,1994-01-01,206910
ProBERTa,,2020-09-01,44000000
ProGen2-xlarge,,2022-06-27,6400000000
ProtBERT-BFD,,2021-05-04,420000000
ProtT5-XXL,,2021-05-04,11000000000
